FishID,ReplicateID,Axis,Lake,Year,Age,Width
LLC_LT028,LT028A,S,Little Lake Clark,1987,4,0.048
LLC_LT028,LT028A,S,Little Lake Clark,1988,5,0.038
LLC_LT028,LT028A,S,Little Lake Clark,1989,6,0.046
LLC_LT028,LT028A,S,Little Lake Clark,1990,7,0.037
LLC_LT028,LT028A,S,Little Lake Clark,1991,8,0.04
LLC_LT028,LT028A,S,Little Lake Clark,1992,9,0.039
LLC_LT028,LT028A,S,Little Lake Clark,1993,10,0.033
LLC_LT028,LT028A,S,Little Lake Clark,1994,11,0.027
LLC_LT028,LT028A,S,Little Lake Clark,1995,12,0.022
LLC_LT028,LT028A,S,Little Lake Clark,1996,13,0.03
LLC_LT028,LT028A,S,Little Lake Clark,1997,14,0.029
LLC_LT028,LT028A,S,Little Lake Clark,1998,15,0.024
LLC_LT028,LT028A,S,Little Lake Clark,1999,16,0.024
LLC_LT028,LT028A,S,Little Lake Clark,2000,17,0.025
LLC_LT028,LT028B,S,Little Lake Clark,1987,4,0.052
LLC_LT028,LT028B,S,Little Lake Clark,1988,5,0.035
LLC_LT028,LT028B,S,Little Lake Clark,1989,6,0.047
LLC_LT028,LT028B,S,Little Lake Clark,1990,7,0.039
LLC_LT028,LT028B,S,Little Lake Clark,1991,8,0.037
LLC_LT028,LT028B,S,Little Lake Clark,1992,9,0.04
LLC_LT028,LT028B,S,Little Lake Clark,1993,10,0.034
LLC_LT028,LT028B,S,Little Lake Clark,1994,11,0.027
LLC_LT028,LT028B,S,Little Lake Clark,1995,12,0.024
LLC_LT028,LT028B,S,Little Lake Clark,1996,13,0.026
LLC_LT028,LT028B,S,Little Lake Clark,1997,14,0.03
LLC_LT028,LT028B,S,Little Lake Clark,1998,15,0.024
LLC_LT028,LT028B,S,Little Lake Clark,1999,16,0.026
LLC_LT028,LT028B,S,Little Lake Clark,2000,17,0.021
LLC_LT028,LT028B,S,Little Lake Clark,2001,18,0.019
LLC_LT028,LT028C,S,Little Lake Clark,1987,4,0.051
LLC_LT028,LT028C,S,Little Lake Clark,1988,5,0.04
LLC_LT028,LT028C,S,Little Lake Clark,1989,6,0.045
LLC_LT028,LT028C,S,Little Lake Clark,1990,7,0.039
LLC_LT028,LT028C,S,Little Lake Clark,1991,8,0.04
LLC_LT028,LT028C,S,Little Lake Clark,1992,9,0.038
LLC_LT028,LT028C,S,Little Lake Clark,1993,10,0.034
LLC_LT028,LT028C,S,Little Lake Clark,1994,11,0.029
LLC_LT028,LT028C,S,Little Lake Clark,1995,12,0.025
LLC_LT028,LT028C,S,Little Lake Clark,1996,13,0.026
LLC_LT028,LT028C,S,Little Lake Clark,1997,14,0.031
LLC_LT028,LT028C,S,Little Lake Clark,1998,15,0.023
LLC_LT028,LT028C,S,Little Lake Clark,1999,16,0.028
LLC_LT028,LT028C,S,Little Lake Clark,2000,17,0.022
LLC_LT028,LT028C,S,Little Lake Clark,2001,18,0.023
LLC_LT033,LT033A,L,Little Lake Clark,1993,3,0.071
LLC_LT033,LT033A,L,Little Lake Clark,1994,4,0.055
LLC_LT033,LT033A,L,Little Lake Clark,1995,5,0.05
LLC_LT033,LT033A,L,Little Lake Clark,1996,6,0.045
LLC_LT033,LT033A,L,Little Lake Clark,1997,7,0.054
LLC_LT033,LT033A,L,Little Lake Clark,1998,8,0.045
LLC_LT033,LT033A,L,Little Lake Clark,1999,9,0.043
LLC_LT033,LT033A,L,Little Lake Clark,2000,10,0.04
LLC_LT033,LT033A,L,Little Lake Clark,2001,11,0.052
LLC_LT033,LT033A,L,Little Lake Clark,2002,12,0.058
LLC_LT033,LT033A,L,Little Lake Clark,2003,13,0.043
LLC_LT033,LT033B,L,Little Lake Clark,1992,2,0.049
LLC_LT033,LT033B,L,Little Lake Clark,1993,3,0.077
LLC_LT033,LT033B,L,Little Lake Clark,1994,4,0.052
LLC_LT033,LT033B,L,Little Lake Clark,1995,5,0.049
LLC_LT033,LT033B,L,Little Lake Clark,1996,6,0.047
LLC_LT033,LT033B,L,Little Lake Clark,1997,7,0.051
LLC_LT033,LT033B,L,Little Lake Clark,1998,8,0.048
LLC_LT033,LT033B,L,Little Lake Clark,1999,9,0.04
LLC_LT033,LT033B,L,Little Lake Clark,2000,10,0.041
LLC_LT033,LT033B,L,Little Lake Clark,2001,11,0.051
LLC_LT033,LT033B,L,Little Lake Clark,2002,12,0.054
LLC_LT033,LT033B,L,Little Lake Clark,2003,13,0.048
LLC_LT033,LT033C,L,Little Lake Clark,1992,2,0.052
LLC_LT033,LT033C,L,Little Lake Clark,1993,3,0.072
LLC_LT033,LT033C,L,Little Lake Clark,1994,4,0.061
LLC_LT033,LT033C,L,Little Lake Clark,1995,5,0.047
LLC_LT033,LT033C,L,Little Lake Clark,1996,6,0.049
LLC_LT033,LT033C,L,Little Lake Clark,1997,7,0.049
LLC_LT033,LT033C,L,Little Lake Clark,1998,8,0.048
LLC_LT033,LT033C,L,Little Lake Clark,1999,9,0.042
LLC_LT033,LT033C,L,Little Lake Clark,2000,10,0.041
LLC_LT033,LT033C,L,Little Lake Clark,2001,11,0.055
LLC_LT033,LT033C,L,Little Lake Clark,2002,12,0.058
LLC_LT033,LT033C,L,Little Lake Clark,2003,13,0.045
LLC_LT036,LT036A,S,Little Lake Clark,1993,5,0.074
LLC_LT036,LT036A,S,Little Lake Clark,1994,6,0.066
LLC_LT036,LT036A,S,Little Lake Clark,1995,7,0.049
LLC_LT036,LT036A,S,Little Lake Clark,1996,8,0.042
LLC_LT036,LT036A,S,Little Lake Clark,1997,9,0.042
LLC_LT036,LT036A,S,Little Lake Clark,1998,10,0.038
LLC_LT036,LT036A,S,Little Lake Clark,1999,11,0.037
LLC_LT036,LT036A,S,Little Lake Clark,2000,12,0.034
LLC_LT036,LT036A,S,Little Lake Clark,2001,13,0.037
LLC_LT036,LT036A,S,Little Lake Clark,2002,14,0.046
LLC_LT036,LT036B,S,Little Lake Clark,1993,5,0.071
LLC_LT036,LT036B,S,Little Lake Clark,1994,6,0.066
LLC_LT036,LT036B,S,Little Lake Clark,1995,7,0.051
LLC_LT036,LT036B,S,Little Lake Clark,1996,8,0.04
LLC_LT036,LT036B,S,Little Lake Clark,1997,9,0.044
LLC_LT036,LT036B,S,Little Lake Clark,1998,10,0.031
LLC_LT036,LT036B,S,Little Lake Clark,1999,11,0.032
LLC_LT036,LT036B,S,Little Lake Clark,2000,12,0.033
LLC_LT036,LT036B,S,Little Lake Clark,2001,13,0.039
LLC_LT036,LT036B,S,Little Lake Clark,2002,14,0.044
LLC_LT039,LT039A,S,Little Lake Clark,1995,3,0.07
LLC_LT039,LT039A,S,Little Lake Clark,1996,4,0.066
LLC_LT039,LT039A,S,Little Lake Clark,1997,5,0.079
LLC_LT039,LT039A,S,Little Lake Clark,1998,6,0.064
LLC_LT039,LT039A,S,Little Lake Clark,1999,7,0.064
LLC_LT039,LT039A,S,Little Lake Clark,2000,8,0.056
LLC_LT039,LT039A,S,Little Lake Clark,2001,9,0.06
LLC_LT039,LT039A,S,Little Lake Clark,2002,10,0.058
LLC_LT039,LT039A,S,Little Lake Clark,2003,11,0.045
LLC_LT039,LT039B,S,Little Lake Clark,1996,4,0.067
LLC_LT039,LT039B,S,Little Lake Clark,1997,5,0.082
LLC_LT039,LT039B,S,Little Lake Clark,1998,6,0.059
LLC_LT039,LT039B,S,Little Lake Clark,1999,7,0.059
LLC_LT039,LT039B,S,Little Lake Clark,2000,8,0.058
LLC_LT039,LT039B,S,Little Lake Clark,2001,9,0.053
LLC_LT039,LT039B,S,Little Lake Clark,2002,10,0.053
LLC_LT039,LT039B,S,Little Lake Clark,2003,11,0.044
LLC_LT039,LT039C,S,Little Lake Clark,1997,5,0.067
LLC_LT039,LT039C,S,Little Lake Clark,1998,6,0.06
LLC_LT039,LT039C,S,Little Lake Clark,1999,7,0.049
LLC_LT039,LT039C,S,Little Lake Clark,2000,8,0.05
LLC_LT039,LT039C,S,Little Lake Clark,2001,9,0.046
LLC_LT039,LT039C,S,Little Lake Clark,2002,10,0.052
LLC_LT040,LT040A,S,Little Lake Clark,1990,2,0.074
LLC_LT040,LT040A,S,Little Lake Clark,1991,3,0.064
LLC_LT040,LT040A,S,Little Lake Clark,1992,4,0.057
LLC_LT040,LT040A,S,Little Lake Clark,1993,5,0.059
LLC_LT040,LT040A,S,Little Lake Clark,1994,6,0.043
LLC_LT040,LT040A,S,Little Lake Clark,1995,7,0.037
LLC_LT040,LT040A,S,Little Lake Clark,1996,8,0.032
LLC_LT040,LT040A,S,Little Lake Clark,1997,9,0.033
LLC_LT040,LT040A,S,Little Lake Clark,1998,10,0.026
LLC_LT040,LT040A,S,Little Lake Clark,1999,11,0.023
LLC_LT040,LT040A,S,Little Lake Clark,2000,12,0.019
LLC_LT040,LT040A,S,Little Lake Clark,2001,13,0.024
LLC_LT040,LT040A,S,Little Lake Clark,2002,14,0.023
LLC_LT043,LT043A,L,Little Lake Clark,1989,2,0.186
LLC_LT043,LT043A,L,Little Lake Clark,1990,3,0.158
LLC_LT043,LT043A,L,Little Lake Clark,1991,4,0.109
LLC_LT043,LT043A,L,Little Lake Clark,1992,5,0.087
LLC_LT043,LT043A,L,Little Lake Clark,1993,6,0.081
LLC_LT043,LT043A,L,Little Lake Clark,1994,7,0.062
LLC_LT043,LT043A,L,Little Lake Clark,1995,8,0.043
LLC_LT043,LT043A,L,Little Lake Clark,1996,9,0.055
LLC_LT043,LT043A,L,Little Lake Clark,1997,10,0.055
LLC_LT043,LT043A,L,Little Lake Clark,1998,11,0.05
LLC_LT043,LT043A,L,Little Lake Clark,1999,12,0.039
LLC_LT043,LT043A,L,Little Lake Clark,2000,13,0.042
LLC_LT043,LT043A,L,Little Lake Clark,2001,14,0.045
